path,scene,variant,base_seed,profile,teacher_target_score,num_tasks,num_couriers,num_candidates,avg_score,avg_willingness,single_ratio,source
case_bank/train/high_noise_seed601/high_noise_seed601_aug000.txt,high_noise_seed601,0,601,high_noise,497.06,30,70,8000,65.118715,0.450646,0.061875,augmented_from_official_large_seed301
case_bank/train/high_noise_seed601/high_noise_seed601_aug001.txt,high_noise_seed601,1,601,high_noise,497.06,30,70,8000,64.946869,0.448838,0.06475,augmented_from_official_large_seed301
case_bank/train/high_noise_seed601/high_noise_seed601_aug002.txt,high_noise_seed601,2,601,high_noise,497.06,30,70,8000,64.715139,0.449009,0.061375,augmented_from_official_large_seed301
case_bank/train/high_noise_seed601/high_noise_seed601_aug003.txt,high_noise_seed601,3,601,high_noise,497.06,30,70,8000,64.943873,0.447984,0.063125,augmented_from_official_large_seed301
case_bank/train/high_noise_seed601/high_noise_seed601_aug004.txt,high_noise_seed601,4,601,high_noise,497.06,30,70,8000,65.196707,0.448465,0.067875,augmented_from_official_large_seed301
case_bank/train/high_noise_seed601/high_noise_seed601_aug005.txt,high_noise_seed601,5,601,high_noise,497.06,30,70,8000,65.381962,0.446769,0.064,augmented_from_official_large_seed301
case_bank/train/high_noise_seed601/high_noise_seed601_aug006.txt,high_noise_seed601,6,601,high_noise,497.06,30,70,8000,65.113731,0.447764,0.063125,augmented_from_official_large_seed301
case_bank/train/high_noise_seed601/high_noise_seed601_aug007.txt,high_noise_seed601,7,601,high_noise,497.06,30,70,8000,65.487668,0.450196,0.0645,augmented_from_official_large_seed301
case_bank/train/high_noise_seed601/high_noise_seed601_aug008.txt,high_noise_seed601,8,601,high_noise,497.06,30,70,8000,65.677829,0.450829,0.062,augmented_from_official_large_seed301
case_bank/train/high_noise_seed601/high_noise_seed601_aug009.txt,high_noise_seed601,9,601,high_noise,497.06,30,70,8000,64.632964,0.446935,0.0635,augmented_from_official_large_seed301
case_bank/train/high_noise_seed601/high_noise_seed601_aug010.txt,high_noise_seed601,10,601,high_noise,497.06,30,70,8000,65.311179,0.449412,0.065375,augmented_from_official_large_seed301
case_bank/train/high_noise_seed601/high_noise_seed601_aug011.txt,high_noise_seed601,11,601,high_noise,497.06,30,70,8000,64.936682,0.448956,0.0635,augmented_from_official_large_seed301
case_bank/train/high_noise_seed601/high_noise_seed601_aug012.txt,high_noise_seed601,12,601,high_noise,497.06,30,70,8000,64.942689,0.446141,0.063625,augmented_from_official_large_seed301
case_bank/train/high_noise_seed601/high_noise_seed601_aug013.txt,high_noise_seed601,13,601,high_noise,497.06,30,70,8000,64.898801,0.452519,0.0665,augmented_from_official_large_seed301
case_bank/train/high_noise_seed601/high_noise_seed601_aug014.txt,high_noise_seed601,14,601,high_noise,497.06,30,70,8000,65.09874,0.44892,0.067875,augmented_from_official_large_seed301
case_bank/train/high_noise_seed601/high_noise_seed601_aug015.txt,high_noise_seed601,15,601,high_noise,497.06,30,70,8000,65.295998,0.449939,0.065125,augmented_from_official_large_seed301
case_bank/train/high_noise_seed601/high_noise_seed601_aug016.txt,high_noise_seed601,16,601,high_noise,497.06,30,70,8000,64.688481,0.453109,0.06275,augmented_from_official_large_seed301
case_bank/train/high_noise_seed601/high_noise_seed601_aug017.txt,high_noise_seed601,17,601,high_noise,497.06,30,70,8000,65.415069,0.448581,0.061625,augmented_from_official_large_seed301
case_bank/train/high_noise_seed601/high_noise_seed601_aug018.txt,high_noise_seed601,18,601,high_noise,497.06,30,70,8000,65.272654,0.447364,0.06375,augmented_from_official_large_seed301
case_bank/train/high_noise_seed601/high_noise_seed601_aug019.txt,high_noise_seed601,19,601,high_noise,497.06,30,70,8000,64.577967,0.453195,0.06475,augmented_from_official_large_seed301
case_bank/train/high_noise_seed601/high_noise_seed601_aug020.txt,high_noise_seed601,20,601,high_noise,497.06,30,70,8000,64.956591,0.447192,0.062,augmented_from_official_large_seed301
case_bank/train/high_noise_seed601/high_noise_seed601_aug021.txt,high_noise_seed601,21,601,high_noise,497.06,30,70,8000,64.841429,0.450768,0.061125,augmented_from_official_large_seed301
case_bank/train/high_noise_seed601/high_noise_seed601_aug022.txt,high_noise_seed601,22,601,high_noise,497.06,30,70,8000,65.357437,0.451654,0.06475,augmented_from_official_large_seed301
case_bank/train/high_noise_seed601/high_noise_seed601_aug023.txt,high_noise_seed601,23,601,high_noise,497.06,30,70,8000,65.065758,0.44724,0.065,augmented_from_official_large_seed301
case_bank/train/high_noise_seed601/high_noise_seed601_aug024.txt,high_noise_seed601,24,601,high_noise,497.06,30,70,8000,64.916717,0.451571,0.062375,augmented_from_official_large_seed301
case_bank/train/high_noise_seed601/high_noise_seed601_aug025.txt,high_noise_seed601,25,601,high_noise,497.06,30,70,8000,64.994016,0.444828,0.066875,augmented_from_official_large_seed301
case_bank/train/high_noise_seed601/high_noise_seed601_aug026.txt,high_noise_seed601,26,601,high_noise,497.06,30,70,8000,64.914246,0.447452,0.06375,augmented_from_official_large_seed301
case_bank/train/high_noise_seed601/high_noise_seed601_aug027.txt,high_noise_seed601,27,601,high_noise,497.06,30,70,8000,64.623491,0.455852,0.064,augmented_from_official_large_seed301
case_bank/train/high_noise_seed601/high_noise_seed601_aug028.txt,high_noise_seed601,28,601,high_noise,497.06,30,70,8000,64.466914,0.449107,0.06375,augmented_from_official_large_seed301
case_bank/train/high_noise_seed601/high_noise_seed601_aug029.txt,high_noise_seed601,29,601,high_noise,497.06,30,70,8000,64.437037,0.451654,0.066625,augmented_from_official_large_seed301
case_bank/train/high_noise_seed601/high_noise_seed601_aug030.txt,high_noise_seed601,30,601,high_noise,497.06,30,70,8000,65.36182,0.448857,0.064375,augmented_from_official_large_seed301
case_bank/train/high_noise_seed601/high_noise_seed601_aug031.txt,high_noise_seed601,31,601,high_noise,497.06,30,70,8000,64.794919,0.447557,0.064875,augmented_from_official_large_seed301
case_bank/train/high_noise_seed601/high_noise_seed601_aug032.txt,high_noise_seed601,32,601,high_noise,497.06,30,70,8000,64.932891,0.451988,0.0665,augmented_from_official_large_seed301
case_bank/train/high_noise_seed601/high_noise_seed601_aug033.txt,high_noise_seed601,33,601,high_noise,497.06,30,70,8000,64.489299,0.452118,0.063125,augmented_from_official_large_seed301
case_bank/train/high_noise_seed601/high_noise_seed601_aug034.txt,high_noise_seed601,34,601,high_noise,497.06,30,70,8000,65.137098,0.451817,0.06525,augmented_from_official_large_seed301
case_bank/train/high_noise_seed601/high_noise_seed601_aug035.txt,high_noise_seed601,35,601,high_noise,497.06,30,70,8000,65.397913,0.447931,0.060875,augmented_from_official_large_seed301
case_bank/train/high_noise_seed601/high_noise_seed601_aug036.txt,high_noise_seed601,36,601,high_noise,497.06,30,70,8000,64.784005,0.452051,0.065,augmented_from_official_large_seed301
case_bank/train/high_noise_seed601/high_noise_seed601_aug037.txt,high_noise_seed601,37,601,high_noise,497.06,30,70,8000,65.294022,0.448154,0.066875,augmented_from_official_large_seed301
case_bank/train/high_noise_seed601/high_noise_seed601_aug038.txt,high_noise_seed601,38,601,high_noise,497.06,30,70,8000,65.031381,0.455582,0.063875,augmented_from_official_large_seed301
case_bank/train/high_noise_seed601/high_noise_seed601_aug039.txt,high_noise_seed601,39,601,high_noise,497.06,30,70,8000,64.752873,0.449092,0.065375,augmented_from_official_large_seed301
case_bank/train/high_noise_seed601/high_noise_seed601_aug040.txt,high_noise_seed601,40,601,high_noise,497.06,30,70,8000,65.327849,0.446377,0.062875,augmented_from_official_large_seed301
case_bank/train/high_noise_seed601/high_noise_seed601_aug041.txt,high_noise_seed601,41,601,high_noise,497.06,30,70,8000,64.436656,0.446723,0.064625,augmented_from_official_large_seed301
case_bank/train/high_noise_seed601/high_noise_seed601_aug042.txt,high_noise_seed601,42,601,high_noise,497.06,30,70,8000,65.19326,0.446865,0.062625,augmented_from_official_large_seed301
case_bank/train/high_noise_seed601/high_noise_seed601_aug043.txt,high_noise_seed601,43,601,high_noise,497.06,30,70,8000,64.163253,0.452938,0.066,augmented_from_official_large_seed301
